name,val
course_2026_total_cnt,641
not_course_2026_total_cnt,8893
course_2026_type_Lab_cnt,287
course_2026_type_Unknown_cnt,166
course_2026_type_Test prep_cnt,115
course_2026_type_Notes_cnt,72
course_2026_type_Assessment_cnt,1
course_2020_total_cnt,302
not_course_2020_total_cnt,9232
course_2020_type_Unknown_cnt,126
course_2020_type_Test prep_cnt,109
course_2020_type_Notes_cnt,36
course_2020_type_Lab_cnt,25
course_2020_type_Assessment_cnt,3
course_2020_type_Essay_cnt,2
course_2020_type_Lecture Slides_cnt,1
