course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
354786,10146410,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,139385,ZEMANIAN,0,ZEMANIAN,139385,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,3,Spring,1,2019,10146410,71408260,,2020/10/24 13:56,7,5d9ded2509cd985c5341df691aa3769738289434,FALSE,https://www.coursehero.com/file/71408260/HW4-solutionpdf/,HW4_solution.pdf,81,,Other,,1.00001E+14,MidKnight0320,1272,0.063679245,4/18/24 10:00,illegible
354786,28302348,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,190494,LEONSHTERENGAS,0,LEONSHTERENGAS,190494,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,3,Spring,1,2023,28302348,192270106,,2023/2/21 5:17,6,e27d33f50e872e6722bb6656bf1bcaa420f656d8,FALSE,https://www.coursehero.com/file/192270106/ESE-271-Midterm-2-solutionpdf/,ESE 271 Midterm 2 solution.pdf,25,,,,1.00001E+14,AdmiralFreedomDog29,422,0.059241706,4/18/24 10:00,illegible
354786,33041770,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,190494,LEONSHTERENGAS,0,LEONSHTERENGAS,190494,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,1,Fall,1,2023,33041770,217145255,"T(+)=3(4-) [F\'Nd\/({')Valt)_F\'lm:LTHETRANSEERNETwoRkMATRYXuOFS- domayi,DH(&lt;)-7@y4 VYoJ\-/\'\'-.FludiittlwlhwelhW,u'}tdlheoJa(elrcuwtSteble@VI(E)pb =0Nor2v ., I_=1A",2023/11/4 21:59,1,7b26e95504f8ea550e4037038fd2cce36aa578ae,FALSE,https://www.coursehero.com/file/217145255/Final-exam-ESE-EEO-271-Summer-2023pdf/,Final exam ESE EEO 271 Summer 2023.pdf,7,,Other,,1.00001E+14,HighnessTeamMongoose35,166,0.042168675,4/18/24 10:00,
354786,33041770,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,190494,LEONSHTERENGAS,0,LEONSHTERENGAS,190494,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,1,Fall,1,2023,33041770,213775475,"ESE 271: Electrical circuit analysisFall 2023The course is designed to provide the necessary theoretical background for electronic lecture andlab courses like ESE 211, 218, 311, 314, 324, 372, etc. The course covers the following topics:passive circui",2023/10/4 20:35,3,5ffd4f9d80910aae4ef92a8581a116135b1378f5,FALSE,https://www.coursehero.com/file/213775475/f23-ese271pdf/,f23-ese271.pdf,8,,Syllabus,,1.00001E+14,UltraHorsePerson863,197,0.040609137,4/18/24 10:00,2nd rnd (4 cat
354786,1608492,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,373077,Leon,0,Leon,373077,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,3,Spring,1,2013,1608492,7898104,"ESE 271/Spring 2013HW-01Due: February 11th.Problem 1. 5 pointsKCL equations for a certain three-node circuit are:Node 1: I1 + I2 - I3 = 0;Node 2: -I1 I2 I4 = 0;Node 3: I3 + I4 = 0.Sketch the circuit, indicating current reference directions.Soluti",2013/5/28 13:10,6,de1a12a65cde28a1dea1724f6f3fb3eeeda55d2a,FALSE,https://www.coursehero.com/file/7898104/hw01sol/,hw01sol,159,notes,Lab,Notes,1.00001E+14,xt775,3978,0.039969834,4/18/24 10:00,
354786,4407527,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,190494,LEONSHTERENGAS,0,LEONSHTERENGAS,190494,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,3,Spring,1,2014,4407527,18981894,"Chapter 10, Solution 4.Step 1.Convert the circuit into the frequency domain and solve for the nodevoltage, V 1 , using analysis. The find the current I C = V 1 /[1+(1/(j4x0.25)] whichthen produces V o = 1xI C . Finally, convert the capacitor voltage b",2017/1/19 10:14,41,10cac8f0e5b5f0a91411c41c812da744e7752f04,TRUE,https://www.coursehero.com/file/18981894/HW10-solutions/,HW10 solutions,100,homework,Assignment,Homework Help,1.00001E+14,mberman1394,2646,0.037792895,4/18/24 10:00,
354786,4460008,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,190494,LEONSHTERENGAS,0,LEONSHTERENGAS,190494,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,1,Fall,1,2013,4460008,11099346,"Pnvbtem Sei: d.Ord PHASORS As A S/nAlir_ f^BTHC&gt;!)_ OF Flfi/0!/V6r TKg__r^Fjfgy-A?X'^r'SWUSOJOAC) RESpC&gt;SBRl-J Re OR RLC ClfiCUXTS.Consi'i^eir Png stn.ple RL_ ciVowi't' sWci?n helcct:^ -tftj' A 1|-tr-LVf^-CoscAj-1/C^cVcw'tK\/ L ^ppltggt ""f",2015/4/2 12:25,7,e97188f0ddab36724e35a27cef82050206f50a1d,FALSE,https://www.coursehero.com/file/11099346/Problem-set-10/,Problem set 10,119,homework,Other,Homework Help,1.00001E+14,samantha.stroh,3304,0.036016949,4/18/24 10:00,
354786,1608492,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,373077,Leon,0,Leon,373077,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,3,Spring,1,2013,1608492,7898108,ESE 271/Spring 2013HW-05Due: April 5th.Problem 1.Find the steady-state current I using nodal analysis.1Problem 2.Find the steady-state voltage V using mesh analysis.23Problem 3.Find the steady-state voltage V using mesh analysis.4Problem 4.F,2013/5/28 13:10,7,08d1ed6c7a0c7120cf168037925bee3dcf09329a,FALSE,https://www.coursehero.com/file/7898108/hw05sol/,hw05sol,142,notes,Lab,Notes,1.00001E+14,xt775,3978,0.03569633,4/18/24 10:00,
354786,4460008,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,190494,LEONSHTERENGAS,0,LEONSHTERENGAS,190494,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,1,Fall,1,2013,4460008,11099374,"ESE271homework1ThishomeworkassignmentisdueinclassonThursdaySeptember12.Homeworkswillbegradedbasedoncompleteness,correctness,andclarity.Itisnotenoughtojustlistthecorrectanswers(mostoftheanswersaregiveninthebackofthebook);youmustshowyourworkinaneatandp",2015/4/2 12:25,6,808ac9a386fdc77787e72aadd81d2991ca447115,FALSE,https://www.coursehero.com/file/11099374/ESE-271-homeworks/,ESE 271 - homeworks,112,homework,Assignment,Homework Help,1.00001E+14,samantha.stroh,3304,0.033898305,4/18/24 10:00,
354786,35800769,ELECTRIC CIRCUIT ANALYSIS,271,ESE,73511,139385,ZEMANIAN,0,ZEMANIAN,139385,64,https://www.coursehero.com/sitemap/schools/64-Stony-Brook-University/courses/354786-ESE271/,64,Stony Brook University,3,Spring,1,2024,35800769,227946224,"ELECTRICAL CIRCUIT ANALYSIS - ESE271SPRING 2024Harbans S. DhadwalE-mail: harbans.dhadwal@stonybrook.eduVoice: 632 8396; Fax: 632 8494Light Engineering, Room 213LECTURE:Tuesday and Thursday 11:30 am to 12:50 pm, in Frey Hall 313OFFICE HOURS:Tuesda",2024/3/13 21:10,3,8ed34af6d88dfc39e6198baa1a0331f8ffa6c776,FALSE,https://www.coursehero.com/file/227946224/s24-ese271pdf/,s24-ese271.pdf,1,,,,1.00001E+14,DrElectron13665,36,0.027777778,4/18/24 10:00,
