course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
632148,4368725,Abstract Data Types,101,CMPS,10889,158118,"Tantalo,P",0,"Tantalo,P",158118,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",2,Winter,1,2015,4368725,10849128,"CMPS 101Homework Assignment 6Solutions1. p.610: 22.3-1Make a 3-by-3 chart with row and column labels WHITE, GRAY, and BLACK. In each cell (i, j ) ,indicate whether, at any point during a depth-first search of a directed graph, there can be an edgefr",2/27/15 4:35,3,bb4ab9bf6cefe3a246efd3019915429817bd7c27,TRUE,FALSE,https://www.coursehero.com/file/10849128/hw6solns/,hw6solns,3332,homework,Assignment,Homework Help,1.00E+14,MegaIceLion1048,3294,1.011536126,3/5/24 10:00,
632148,4368725,Abstract Data Types,101,CMPS,10889,158118,"Tantalo,P",0,"Tantalo,P",158118,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",2,Winter,1,2015,4368725,10849121,"CMPS 101Homework Assignment 2Solutions1. p.50: 3.1-1Let f (n) and g (n) be asymptotically non-negative functions. Using the basic definition of notation, prove that f (n) g (n) (max( f (n), g (n) .Proof:Since f (n) and g (n) are asymptotically non-n",2/27/15 4:35,5,28d6fd3bfae971a336ffd2e128e327ca3ab792b9,TRUE,FALSE,https://www.coursehero.com/file/10849121/hw2solns/,hw2solns,1719,homework,Assignment,Homework Help,1.00E+14,MegaIceLion1048,3294,0.521857923,3/5/24 10:00,
11749999,11773477,Algorithms and Abstract Data Types,101,CMPS,167464,1513445,Patrick Tantalo ,0,Patrick Tantalo ,1513445,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/11749999-CMPS101/,395,"University of California, Santa Cruz",1,Fall,1,2019,11773477,154038081,"/CMPSC 311 SP22/LAB 2#include &lt;stdio.h&gt;#include &lt;string.h&gt;#include &lt;assert.h&gt;#include ""mdadm.h""#include ""jbod.h""uint32_t is_mounted = 0;uint32_t encode_operation(jbod_cmd_t cmd, int disk_num, int block_num){uint32_t op = cmd &lt; 26 | disk_num &lt; 22 ",6/13/22 20:16,4,94939426a8b88b024e4b296469dfa5a3c2af31cb,FALSE,FALSE,https://www.coursehero.com/file/154038081/mdadmc/,mdadm.c,252,,Code,,1.00E+14,CaptainEchidna2300,631,0.399366086,3/5/24 10:00,
632148,3681016,Abstract Data Types,101,CMPS,10889,812566,"VanGelder,A.",0,"VanGelder,A.",812566,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3681016,12526181,"CMPS 101Homework Assignment 6Solutions1. p.610: 22.3-1Make a 3-by-3 chart with row and column labels WHITE, GRAY, and BLACK. In each cell (i, j ) ,indicate whether, at any point during a depth-first search of a directed graph, there can be an edgefr",10/31/15 15:54,4,0c60e40116293d8a4f8a4d9a21b824eb88f9f111,TRUE,FALSE,https://www.coursehero.com/file/12526181/hw6solns/,hw6solns,1143,homework,Assignment,Homework Help,1.00E+14,hero1235,3048,0.375,3/5/24 10:00,
632148,4294175,Abstract Data Types,101,CMPS,10889,158118,"Tantalo,P",0,"Tantalo,P",158118,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",4,Summer,1,2014,4294175,21339991,"CMPS 101Algorithms and Abstract Data TypesSummer 2014Midterm Exam 1Solutions1.(20 Points) Determine whether the following statements are true or false. Give a proof if the statementis true, give a counter-example if the statement is false.a. (10 P",3/25/17 15:40,4,772183c9981ef5b778a6803562d990c9ffeda027,TRUE,FALSE,https://www.coursehero.com/file/21339991/Midterm-1-Solutions-Tantalo/,Midterm 1 Solutions (Tantalo),830,test_prep,Test,Test prep,1.00E+14,sicruz,2537,0.327158061,3/5/24 10:00,
632148,3681016,Abstract Data Types,101,CMPS,10889,812566,"VanGelder,A.",0,"VanGelder,A.",812566,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3681016,12526186,"CMPS 101Algorithms and Abstract Data TypesFall 2014Midterm Exam 1Solutions1.(20 Points) Determine whether the following statements are true or false. Give a proof if the statementis true, give a counter-example if the statement is false.a. (10 Poi",10/31/15 15:55,4,3629ee6955efcb637cf0db78470a43cef7877454,TRUE,FALSE,https://www.coursehero.com/file/12526186/MIDTERM-1-SOLUTIONS/,MIDTERM 1 SOLUTIONS,968,test_prep,Test,Test prep,1.00E+14,hero1235,3048,0.317585302,3/5/24 10:00,
632148,3681016,Abstract Data Types,101,CMPS,10889,812566,"VanGelder,A.",0,"VanGelder,A.",812566,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3681016,12526182,"CMPS 101Homework Assignment 7Solutions1. Let N (n, h) denote the number of nodes at height h 0 in an almost complete binary tree (ACBT) onn 0 nodes. Prove that N (n, h) satisfies the following double recurrence formula. n n / 2N (n, h)  N n / 2 , h",10/31/15 15:54,6,5967f65271bfce4e57cbcf67be71b06cc7987f6e,TRUE,FALSE,https://www.coursehero.com/file/12526182/hw7solns/,hw7solns,941,homework,Assignment,Homework Help,1.00E+14,hero1235,3048,0.308727034,3/5/24 10:00,
11749999,11773477,Algorithms and Abstract Data Types,101,CMPS,167464,1513445,Patrick Tantalo ,0,Patrick Tantalo ,1513445,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/11749999-CMPS101/,395,"University of California, Santa Cruz",1,Fall,1,2019,11773477,96339476,"CSE 101Introduction to Data Structures and AlgorithmsProgramming Assignment 7In this project you will create a new and somewhat different integer List ADT, this time in C+. You willuse this List to perform shuffling operations, and determine how many ",6/6/21 23:01,3,2a5bcbbef4e51341400239635223145b81e0e4ee,FALSE,FALSE,https://www.coursehero.com/file/96339476/pa7pdf/,pa7.pdf,305,,Assignment,,1.00E+14,AmbassadorQuail1281,1003,0.304087737,3/5/24 10:00,
632148,4696939,Abstract Data Types,101,CMPS,10889,158118,"Tantalo,P",0,"Tantalo,P",158118,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",4,Summer,1,2006,4696939,12433713,"CMPS 101Homework Assignment 7Solutions1. B.5-4 page 1180Use induction to show that a nonempty binary tree with n nodes and height h satisfies h lg n .Hint: use the following recursive definition of height discussed in class: h(T ) 0 1 max( h( L), ",10/20/15 22:17,7,82947a2940a526e7fc7fae6ada424c2dbe7ea645,TRUE,FALSE,https://www.coursehero.com/file/12433713/hw7solns/,hw7solns,920,homework,Assignment,Homework Help,1.00E+14,JusticeFreedomStarling7375,3059,0.30075188,3/5/24 10:00,
632148,4368725,Abstract Data Types,101,CMPS,10889,158118,"Tantalo,P",0,"Tantalo,P",158118,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",2,Winter,1,2015,4368725,10849124,CMPS 101Homework Assignment 4Solutions1. Consider the function T (n) defined by the recurrence formula1 n 36T ( n) n3 2T ( n / 3 ) na. Use the iteration method to write a summation formula for T (n) .Solution:T (n) n 2T ( n / 3 ) n 2( n / 3 2T,2/27/15 4:35,5,4a3ac85419dc6f8e4d52036163894b62577a1b77,TRUE,FALSE,https://www.coursehero.com/file/10849124/hw4solns/,hw4solns,945,homework,Assignment,Homework Help,1.00E+14,MegaIceLion1048,3294,0.286885246,3/5/24 10:00,
632148,3681016,Abstract Data Types,101,CMPS,10889,812566,"VanGelder,A.",0,"VanGelder,A.",812566,395,,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/632148-CMPS101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3681016,26605880,"Divide and ConquerEnough of just sorting!C. SeshadhriUniversity of California, Santa Cruzsesh@ucsc.eduC. Seshadhri (UCSC)1 / 25Maximum-Dierence ProblemA Stock Market StoryC. Seshadhri (UCSC)CMPS1012 / 25Maximum-Dierence ProblemRules of the Ga",11/14/17 22:24,27,0332cea112c4842f415131f5804b23fa0b09998e,TRUE,FALSE,https://www.coursehero.com/file/26605880/DivideAndConquerpptx/,DivideAndConquer.pptx,659,notes,Slides,Notes,1.00E+14,ellielin1208,2303,0.286148502,3/5/24 10:00,
