name,val
course_374_total_cnt,518
not_course_374_total_cnt,8215
course_374_type_Notes_cnt,177
course_374_type_Lab_cnt,152
course_374_type_Unknown_cnt,86
course_374_type_Test prep_cnt,82
course_374_type_Essay_cnt,10
course_374_type_Assessment_cnt,9
course_374_type_Assignment_cnt,1
course_374_type_Lecture Slides_cnt,1
course_225_total_cnt,848
not_course_225_total_cnt,7885
course_225_type_Notes_cnt,312
course_225_type_Unknown_cnt,275
course_225_type_Lab_cnt,151
course_225_type_Test prep_cnt,109
course_225_type_Essay_cnt,1
