course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
250226,4294421,Computer Science,131,CSE,4629,330934,DougShook,0,DougShook,330934,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,1,Fall,1,2014,4294421,10735099,"package lab4;import java.awt.Color;import sedgewick.StdDraw;import cse131.ArgsProcessor;public class BumpingBalls cfw_public static void main(String[] args) cfw_ArgsProcessor ap = new ArgsProcessor(args);int numberofballs = ap.nextInt(""How many bal",2/12/15 16:03,3,2bc6992972c31b43002646cc1274f8adc0fc5b10,FALSE,FALSE,https://www.coursehero.com/file/10735099/bumping-balls-lab/,bumping balls lab,596,lab,Code,Lab,1.00E+14,hmail25,3309,0.180114838,3/5/24 10:00,
250226,250226,Computer Science,131,CSE,4629,100419,Goldman,0,Goldman,100419,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,1,Fall,1,2007,250226,170093944,"Check3.1 List abstract data type (ADT)List abstract data type10/04/22 16:42 1446384A list is a common ADT for holding ordered data, having operations zyBookslikeValeria Taglioni Chica append a data item, remove a data item, search whether a data i",10/4/22 17:20,37,63c6d7307cef40ac005cd8fb834afe58d83c2cde,TRUE,FALSE,https://www.coursehero.com/file/170093944/zybookM2pdf/,zybookM2.pdf,79,,Other,,1.00E+14,mariposacantando,518,0.152509653,3/5/24 10:00,
250226,4294421,Computer Science,131,CSE,4629,330934,DougShook,0,DougShook,330934,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,1,Fall,1,2014,4294421,10729400,package lab7;public class Course cfw_privateprivateprivateprivateString name;int credits;int seats;Student[] roster;/*** @param name string of Course name* @param credits int of number of credits received for taking Course* @param seats numb,2/12/15 16:04,6,0cb20aa099d9bc18d6c05583508b16e1a0b322b3,FALSE,FALSE,https://www.coursehero.com/file/10729400/course-and-student-lab/,course and student lab,408,lab,Code,Lab,1.00E+14,hmail25,3309,0.123300091,3/5/24 10:00,
250226,2053579,Computer Science,131,CSE,4629,492839,AnneBracy,0,AnneBracy,492839,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,3,Spring,1,2012,2053579,9751482,"CSE 131 Midterm ExaminationCSE 131:Introduction to Computer ScienceName:Vinoo GaneshID Number:by writing my name and ID number I swear by the WUSTL honor codeRead all of the following information before starting the exam: Show all work, clearly an",7/5/14 14:48,11,3a60ee9840d63ba8a26d2b828532fb0e390b53cd,TRUE,FALSE,https://www.coursehero.com/file/9751482/Midterm-Exam-Solution/,Midterm Exam Solution,430,test_prep,Test,Test prep,1.00E+14,the_sheik_h238,3531,0.121778533,3/5/24 10:00,
250226,4569485,Computer Science,131,CSE,4629,1001193,RonCytron,0,RonCytron,1001193,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,4,Summer,1,2015,4569485,11874694,package lab8;import java.util.Iterator;import java.util.LinkedList;public class Polynomial cfw_/** @author EricRen*/final private LinkedList&lt;Double&gt; list;/** Constructs a Polynomial with no terms yet.*/public Polynomial() cfw_// Set the insta,8/11/15 16:51,4,bceea64aa4878c10213a525040d675927b1f27a2,FALSE,FALSE,https://www.coursehero.com/file/11874694/package-lab8/,package lab8,318,lab,Code,Lab,1.00E+14,EricRen6,3129,0.101629914,3/5/24 10:00,
250226,4294421,Computer Science,131,CSE,4629,330934,DougShook,0,DougShook,330934,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,1,Fall,1,2014,4294421,10729401,"Dont show multiples of 7, and then on either sideof multiple: (this doesnt print 1 or 2 for somereason)int N = ap.nextInt(""How many numbers in thesieve?"");boolean [] sieve = new boolean [N];for (int i=0; i&lt;N;i+)cfw_sieve[i] = true;for (int i =0; ",2/12/15 16:05,2,093387e7b28bfd09a54f52ffa78e49149db61b27,TRUE,FALSE,https://www.coursehero.com/file/10729401/cheat-sheet-for-exam-one/,cheat sheet for exam one,326,test_prep,Code,Test prep,1.00E+14,hmail25,3309,0.09851919,3/5/24 10:00,
645341,994250,,131,CSE,173821,5616,,0,,5616,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/645341-CSE131/,1375,Washington University in St Louis,0,,1,2009,994250,22335659,"package lab2;import cse131.ArgsProcessor;public class Nim cfw_public static void main(String[] args) cfw_/ TODO Auto-generated method stubArgsProcessor ap = new ArgsProcessor(args);int sticks = 7;System.out.println(""There are "" + sticks + "" sticks ",4/26/17 2:17,4,6be333384be6d5797e9f1e37eb7ae2e5c2601814,FALSE,FALSE,https://www.coursehero.com/file/22335659/package-lab2/,package lab2,226,lab,Code,Lab,1.00E+14,gaohy06,2505,0.090219561,3/5/24 10:00,
250226,4294421,Computer Science,131,CSE,4629,330934,DougShook,0,DougShook,330934,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,1,Fall,1,2014,4294421,28605321,"List parametric type thing b/n brackets specifiestype duplication is allowed, order is important Array list: places elements in an array, shouldbe a list in which changes are infrequento Ex: national parks Linked list: grows and shrinks w/ elements",2/21/18 18:45,2,c6d9edcf6186ae097b7809754dd365a055d39a3a,FALSE,FALSE,https://www.coursehero.com/file/28605321/Sage-Page-Exam-3docx/,Sage Page Exam 3.docx,188,test_prep,Notes,Test prep,1.00E+14,f.blumin,2204,0.085299456,3/5/24 10:00,
250226,4294421,Computer Science,131,CSE,4629,330934,DougShook,0,DougShook,330934,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,1,Fall,1,2014,4294421,10729402,public class Polynomial cfw_final private LinkedList&lt;Double&gt; list;/Constructs a Polynomialwith no terms yetpublic Polynomial() cfw_/ Set the instance variable (list) to be a new linked list of Doubletype/list = new LinkedList&lt;Double&gt;();/ toString,2/12/15 16:05,3,8cbf3311f40631469c3ad6471a60d78b03a48cfc,FALSE,FALSE,https://www.coursehero.com/file/10729402/cheat-sheet-for-final/,cheat sheet for final,276,test_prep,Code,Test prep,1.00E+14,hmail25,3309,0.083408885,3/5/24 10:00,
250226,4294421,Computer Science,131,CSE,4629,330934,DougShook,0,DougShook,330934,1375,,https://www.coursehero.com/sitemap/schools/1375-Washington-University-in-St-Louis/courses/250226-CSE131/,1375,Washington University in St Louis,1,Fall,1,2014,4294421,10735101,"package lab3;import cse131.ArgsProcessor;public class MineSweeper cfw_public static void main (String[] args) cfw_ArgsProcessor ap = new ArgsProcessor(args);int cols = ap.nextInt(""How many columns?"");int rows = ap.nextInt(""How many rows?"");double p",2/12/15 16:03,2,dba9032f24d86d6765b1a8b4832263ef2cc7f25a,FALSE,FALSE,https://www.coursehero.com/file/10735101/minesweeper-lab/,minesweeper lab,267,lab,Code,Lab,1.00E+14,hmail25,3309,0.08068903,3/5/24 10:00,
